年月日,降水量の合計(mm),最低気温(℃),最高気温(℃),平均気温(℃)
2014/6/21,153.5,22.7,25.4,24.1
2014/6/22,103,21.8,28,23.8
2014/6/23,5.5,18.9,24.9,22
2014/6/24,0,18.9,25.1,21.7
2014/6/25,0.5,18.6,25.8,22.6
2014/6/26,70.5,18.9,22.7,21
2014/6/27,92,22.3,28,24.8
2014/6/28,20,22.1,25.8,24
2014/6/29,6,20.5,27,23.1
2014/6/30,7,18.8,25,21.1
2014/7/1,0,20.3,27.5,23.8
2014/7/2,18,21.6,24.5,23.1
2014/7/3,22.5,22.8,30.6,26.3
2014/7/4,0.5,21.9,28.6,25.4
2014/7/5,0,21.2,28.3,24.8
2014/7/6,1.5,22.1,28.8,25.5
2014/7/7,0,25.9,31.1,28.2
2014/7/8,1,26.1,29.9,27.7
2014/7/9,189,24.1,27.3,26
2014/7/10,121,24.1,32,26.8
2014/7/11,0,20.2,29.3,25.5
2014/7/12,0,20.4,29.7,25.8
2014/7/13,0,25.3,31.8,28
2014/7/14,2.5,25.2,30.5,27.3
2014/7/15,0,23.8,30.6,27
2014/7/16,0,23.1,29.5,26
2014/7/17,0,22.9,29.9,26.1
2014/7/18,0,23.4,30.3,26.5
2014/7/19,2,23.9,29,26.3
2014/7/20,0,23.8,30.1,26.8
2014/7/21,0,22.9,29.8,26.7
2014/7/22,0,23.8,29.9,26.9
2014/7/23,0,24.4,31.5,27.8
2014/7/24,0,24.5,32.2,28.4
2014/7/25,0,24.5,32.6,28.2
2014/7/26,0,24.2,32.1,28.2
2014/7/27,0,24.5,32.7,28.3
2014/7/28,0,24.3,31.6,27.7
2014/7/29,0,24.6,32.2,28
2014/7/30,3.5,26.8,31.2,28
2014/7/31,38.5,24.6,28.4,26.7
2014/8/1,71,23.6,28.3,26.9
2014/8/2,21,26.5,28.2,27.6
2014/8/3,39.5,26.3,30.9,27.5
2014/8/4,4,25.1,31.4,27.9
2014/8/5,4.5,24.2,31.9,27.8
2014/8/6,7,24.9,30.7,27.7
2014/8/7,17,24.4,29.7,27.6
2014/8/8,24.5,25.8,29.5,27.8
2014/8/9,11.5,25.1,28,26.8
2014/8/10,0.5,24.2,31.2,26.9
2014/8/11,2,23.9,27.2,25.5
2014/8/12,0,23.6,29,25.9
2014/8/13,7,23.7,30.2,26.7
2014/8/14,12.5,26.2,31.3,28.2
2014/8/15,18.5,25.4,31.2,28
2014/8/16,7.5,25.4,29.9,26.9
2014/8/17,4.5,23.9,31,27
2014/8/18,0.5,24.1,31.5,27.7
2014/8/19,2,25.7,31.3,27.8
2014/8/20,1.5,25.2,30.5,27.4
2014/8/21,0,24.1,31.2,27.6
2014/8/22,17,24.3,30.1,26.6
2014/8/23,0,24.3,30.7,27.2
2014/8/24,0,23.3,30.3,27
2014/8/25,0,23.9,31.5,27.5
2014/8/26,0,23.7,31.2,27
2014/8/27,0,22.9,30.7,26.9
2014/8/28,0,22.1,30.2,26.3
2014/8/29,25.5,23.5,30.4,26
2014/8/30,13,23,28,24.6
2014/8/31,0,22.9,29.1,25.7
2014/9/1,0,22.3,29.6,25.9
2014/9/2,0,24.1,30.4,26.9
2014/9/3,0,24.3,30.9,27.2
2014/9/4,2.5,24.6,30.4,27.1
2014/9/5,19,24.5,28.6,26
2014/9/6,47.5,23.5,29.9,25.8
2014/9/7,30.5,24.8,28.7,26.6
2014/9/8,5,24.8,30,27.3
2014/9/9,0,22.8,29.9,26.3
2014/9/10,0,23,29.3,26.2
2014/9/11,0,23.4,29.6,26.1
2014/9/12,0,23.1,29.4,25.7
2014/9/13,111,22.1,25.6,23.3
2014/9/14,13.5,21.6,26,23.1
2014/9/15,60.5,22.5,25.6,24.5
2014/9/16,0,22.4,28.3,25.4
2014/9/17,0,22.3,28.7,25
2014/9/18,1,22,28.1,25.3
2014/9/19,115.5,20.1,24.2,22.4
2014/9/20,71.5,20.7,23.9,22.2
2014/9/21,75,21.9,26,23.8
2014/9/22,3.5,22.1,27.7,25.2
2014/9/23,13,25,27.2,26.2
2014/9/24,93,23.7,26.5,25.2
2014/9/25,0,23.6,30.1,25.7
2014/9/26,0,22.3,27.4,24.8
2014/9/27,46,21.5,25.3,23.7
2014/9/28,0,21.6,27.6,24.5
2014/9/29,0,20.2,27.6,23.4
2014/9/30,0,18.6,28.3,24.1
2014/10/1,0,22.6,27.6,25
2014/10/2,0,23.2,28.8,25.3
2014/10/3,5,22.2,27.7,24.7
2014/10/4,1,23.6,25.7,24.7
2014/10/5,184.5,23.1,25.3,24
2014/10/6,0,19.4,25.3,23
2014/10/7,0,19.4,24,21.8
2014/10/8,0,19.7,25.5,23.6
2014/10/9,6,21.7,26.5,24.7
2014/10/10,2,23.8,25,24.6
2014/10/11,4.5,23.6,25.3,24.6
2014/10/12,41,23.3,26.5,24.7
2014/10/13,24.5,20.9,29.9,24.1
2014/10/14,0,19.2,24.4,21.9
2014/10/15,0,17.5,22.5,19.4
2014/10/16,0,17.4,25.6,20.3
2014/10/17,0,15.6,22.9,19.4
2014/10/18,0,16.1,25.3,20.8
2014/10/19,0,17.5,25.5,22
2014/10/20,0,18.8,26.2,22.2
2014/10/21,0,17.5,26.7,22.4
2014/10/22,2.5,20.2,26.6,23.5
2014/10/23,7,18.8,23.3,20.8
2014/10/24,0,16.3,23.7,20.2
2014/10/25,1,19.2,26.2,22.7
2014/10/26,38.5,19.8,24.1,21.8
2014/10/27,0,19.6,24.8,21.9
2014/10/28,0,15.1,22,20
2014/10/29,0,14,23.1,18.9
2014/10/30,0,18.2,24.6,21.4
2014/10/31,33.5,19.1,25.2,22.1
2014/11/1,64.5,19.2,25.1,21.3
2014/11/2,3.5,18.6,23,20.7
2014/11/3,0,14.6,19.6,17.5
2014/11/4,0,14.3,20.6,17.5
2014/11/5,0,16.2,21.3,19.8
2014/11/6,0,18.6,21.6,20.2
2014/11/7,0,15.9,22.8,19.7
2014/11/8,0.5,15.6,22.8,21.3
2014/11/9,52.5,19.3,23.5,20.9
2014/11/10,29.5,18.2,21,19.6
2014/11/11,58,17.4,19.9,18.6
2014/11/12,0,17.5,21.9,19.1
2014/11/13,0,14.3,18.1,15.9
2014/11/14,1.5,12.4,17.4,14.8
2014/11/15,0,10.3,17.8,13.5
2014/11/16,0,10.7,19.6,15.8
2014/11/17,38,14.6,17.8,16.1
2014/11/18,0,10.8,17.3,14.6
2014/11/19,0,9.5,19,15.4
2014/11/20,0,14.6,19.5,17.3
2014/11/21,44.5,15.7,20.8,17.9
2014/11/22,2,15,21,17.8
2014/11/23,0.5,14.9,23.3,19
2014/11/24,7,17.3,23.8,20.4
2014/11/25,5,18.6,23.5,20.6
2014/11/26,0.5,16.9,22.6,19.4
2014/11/27,0,15.6,20.6,18
2014/11/28,42.5,16.5,24.9,21.1
2014/11/29,0,16.4,22.5,19.8
2014/11/30,29.5,15.4,23,19.5
2014/12/1,11,12.3,19.9,16
2014/12/2,2.5,9.2,14.2,11.3
2014/12/3,0,10.2,17.8,13.7
2014/12/4,27,10.2,15.7,12.9
2014/12/5,2.5,9.4,13.3,11
2014/12/6,2.5,8.2,13.5,11.4
2014/12/7,0,9.2,14.1,11.1
2014/12/8,0,10.2,16,13.2
2014/12/9,0,12.1,15.7,13.8
2014/12/10,0.5,11.9,18.7,16.7
2014/12/11,44,12,16.8,14.6
2014/12/12,22.5,9.2,13.8,11.7
2014/12/13,26.5,8.5,12.4,10.3
2014/12/14,8,7.9,11.9,10
2014/12/15,0,7.8,15.8,11.9
2014/12/16,51.5,6.8,17.7,12.8
2014/12/17,4,6.4,10.8,8.9
2014/12/18,0,7,11.7,9.4
2014/12/19,12.5,4.9,15,11.5
2014/12/20,93.5,11.6,17.7,14.3
2014/12/21,11.5,8.2,12.3,10.5
2014/12/22,18.5,5.1,11.9,9
2014/12/23,0,8.8,15.2,11.7
2014/12/24,4.5,8.6,16.7,13.8
2014/12/25,0,10.7,15.2,12.8
2014/12/26,0,7.7,13.7,10.4
2014/12/27,0.5,7.6,14.6,12.5
2014/12/28,10,11,16.1,12.7
2014/12/29,52.5,8.8,14.1,11.7
2014/12/30,0,10.3,17.2,13.4
2014/12/31,0,8.1,18.8,13.7
2015/1/1,5,4.9,11.4,8.8
2015/1/2,1.5,6.6,12.2,9.6
2015/1/3,0,7.8,14.1,10.8
2015/1/4,0,7.2,18.4,12.1
2015/1/5,0,8.6,18.6,13.7
2015/1/6,4,11.7,18.4,15.5
2015/1/7,0,9.9,14.5,11.7
2015/1/8,0,9,11.8,10
2015/1/9,0,9.5,13.8,11.5
2015/1/10,0,10.6,14,11.8
2015/1/11,0,10.6,16.9,13.7
2015/1/12,0,7.8,12.4,10.8
2015/1/13,0,10.6,13.9,12
2015/1/14,52,11.7,17.8,15.3
2015/1/15,20.5,12.5,20.9,15.6
2015/1/16,0,10.2,15.6,13.1
2015/1/17,1,8.4,14,11.4
2015/1/18,0,4.9,15.3,10.6
2015/1/19,0,9.9,14.3,13
2015/1/20,0,8.5,15.2,11.9
2015/1/21,44.5,9,16.4,13.8
2015/1/22,11.5,9.2,16.2,12.9
2015/1/23,16.5,6.5,14,11.1
2015/1/24,0,7.6,16,11.8
2015/1/25,0,7.2,17.7,13.2
2015/1/26,56,14.4,17.3,15.5
2015/1/27,0,12.5,18.2,14.7
2015/1/28,0,10.4,13.5,11.7
2015/1/29,37,12.4,14.4,13.4
2015/1/30,4.5,10.3,15.4,12.1
2015/1/31,0,7.8,10.6,9.2
2015/2/1,0,5.5,12.3,8.7
2015/2/2,0,7.4,12.6,10.3
2015/2/3,0,8.4,14.6,11.7
2015/2/4,5.5,9.2,14.4,11
2015/2/5,9,6.3,11.2,9
2015/2/6,0,7.8,12.9,9.7
2015/2/7,0,6.1,14.1,10.7
2015/2/8,9,5.3,11.2,8.4
2015/2/9,0,5.2,7.2,6.2
2015/2/10,1,6.2,12.3,8.2
2015/2/11,0,6.1,15.8,10.4
2015/2/12,4,7.2,16.8,11.7
2015/2/13,0,7.9,12.8,9.9
2015/2/14,0,6.1,15.2,10.7
2015/2/15,0,6.3,17.5,13.2
2015/2/16,2.5,12.4,18.7,16
2015/2/17,0,11.1,16.7,14.2
2015/2/18,0,10.7,15,12.1
2015/2/19,0,9.2,13.4,10.8
2015/2/20,0,6.4,15.5,10.7
2015/2/21,0.5,8.3,17.9,14.6
2015/2/22,49,14.9,18.8,16.5
2015/2/23,0,12.1,15.6,14.1
2015/2/24,0,11.1,15,13.2
2015/2/25,1.5,9.4,17.3,14.1
2015/2/26,58.5,12.4,19.4,16
2015/2/27,1,8.8,15,11.7
2015/2/28,17.5,8,15.6,12.1
2015/3/1,51,10.5,20.5,14.1
2015/3/2,0,6.6,15.3,10.9
2015/3/3,37,7.6,18.7,13.6
2015/3/4,1.5,9.4,13.9,11.4
2015/3/5,0,9.4,13.9,10.8
2015/3/6,34,10.4,13.8,12.2
2015/3/7,4,11.3,14.2,12.4
2015/3/8,0,10,17.9,14
2015/3/9,31.5,12.2,18.3,14.1
2015/3/10,0,6.8,12.3,8.5
2015/3/11,0,7.9,11.5,9.3
2015/3/12,0,7.8,15.2,11.4
2015/3/13,0,6.1,17.4,11.8
2015/3/14,0,8.5,20.6,14.9
2015/3/15,46.5,13.6,17,15.2
2015/3/16,29,15.4,18.2,16.7
2015/3/17,2.5,16.6,21.8,18.7
2015/3/18,0.5,16.4,24.7,20.5
2015/3/19,1,15.1,23.8,18.1
2015/3/20,0,13.9,19.2,16.5
2015/3/21,0,13.7,20.8,16.9
2015/3/22,0,14.6,21.1,17.1
2015/3/23,0,12.4,18.5,15.1
2015/3/24,0,10.3,15.7,12.5
2015/3/25,0,7,15.6,11.9
2015/3/26,0,6.8,18.4,12.7
2015/3/27,0,10.9,18.9,15
2015/3/28,8,14.3,21.1,17.2
2015/3/29,4,14.8,22.2,18.1
2015/3/30,0,12.8,22.5,17.5
2015/3/31,0,14.3,22.5,19.7
2015/4/1,0.5,18.4,25.6,21.2
2015/4/2,1.5,17.6,24.1,21
2015/4/3,0,21.5,27,24
2015/4/4,3.5,19.6,26.2,22.3
2015/4/5,0,18.2,27.6,22.7
2015/4/6,9,20.3,28.2,23.3
2015/4/7,23.5,15.5,22.5,18.1
2015/4/8,30,13.8,16.5,14.8
2015/4/9,37,13.6,19,16.5
2015/4/10,1,16.4,20.8,18.6
2015/4/11,0.5,16.3,20.9,18.1
2015/4/12,66,15.9,19.8,18
2015/4/13,5,17.4,24.7,20
2015/4/14,0,11.1,18.9,15.5
2015/4/15,1,12.1,20.7,16
2015/4/16,1,12.7,23.1,17.9
2015/4/17,0,16,22.1,19
2015/4/18,0,13.8,23.8,19.7
2015/4/19,34,21.2,23.5,22.2
2015/4/20,39.5,19.2,24.7,21.7
2015/4/21,0,17.5,21.2,18.8
2015/4/22,0,16.6,23.8,19.5
2015/4/23,0,15,22.8,18.5
2015/4/24,0,13.6,22,17.8
2015/4/25,0,15.3,23.4,19.5
2015/4/26,0,13.8,24.5,19.7
2015/4/27,0,14.1,24.3,19.6
2015/4/28,26,15.7,20.4,17.8
2015/4/29,1.5,18.2,23.3,20.4
2015/4/30,62.5,17.7,24.7,20.3
2015/5/1,2,16.7,24.2,20
2015/5/2,0,16.7,24.8,20.7
2015/5/3,15,18.9,22.8,20.6
2015/5/4,0,17.6,24,20.1
2015/5/5,0,15.2,23.1,19.6
2015/5/6,6,14.4,23.8,19.1
2015/5/7,7.5,17.8,20.1,18.8
2015/5/8,0,17.1,23.6,20.5
2015/5/9,95,18.2,23.4,20.1
2015/5/10,13.5,18,23,19.9
2015/5/11,3,18.3,24.8,21.4
2015/5/12,118,13.6,25,19.4
2015/5/13,0,11.9,25.9,19.5
2015/5/14,63,14.7,26.9,21.4
2015/5/15,122,21.2,25.9,22.5
2015/5/16,21,19.8,27.6,22.5
2015/5/17,0,18.2,23.5,21.4
2015/5/18,8,20.2,28.2,23.3
2015/5/19,21.5,21,25.9,22.5
2015/5/20,0,19.4,26.8,22
2015/5/21,0,16.1,24.6,20.4
2015/5/22,0,14.8,24.5,20.1
2015/5/23,47.5,16.3,20.7,17.9
2015/5/24,6.5,17.7,21.4,19.6
2015/5/25,0,17.8,24.1,20.7
2015/5/26,0,17.7,26.9,22.2
2015/5/27,0,16.2,27.3,22.5
2015/5/28,11,17.9,24.2,20.8
2015/5/29,0,18.6,26.1,22.5
2015/5/30,25,20.2,25.7,23.3
2015/5/31,0,22.1,26.9,23.8
2015/6/1,0,19.5,25.8,23
2015/6/2,7,22.7,25.3,23.9
2015/6/3,76.5,22.4,28.2,24.6
2015/6/4,0,20.3,26.1,23
2015/6/5,83,20.1,24.9,22.3
2015/6/6,0,19.6,24.7,21.6
2015/6/7,130.5,20.1,23.4,21.5
2015/6/8,84.5,21.4,26.1,23.1
2015/6/9,0,22.3,29.7,25
2015/6/10,3.5,21.3,25.1,22.5
2015/6/11,0,23.3,32,27.2
2015/6/12,23,22.5,28.3,24.6
2015/6/13,69.5,19.9,23,21.4
2015/6/14,83,21.6,26.2,23.1
2015/6/15,57.5,21.6,25.1,22.7
2015/6/16,15,21.7,27.4,24.2
2015/6/17,57,21.1,23,21.9
2015/6/18,59,22.1,27.7,24
2015/6/19,2.5,21.1,25,22.4
2015/6/20,0,20.8,25.1,22.5
2015/6/21,0,20.6,26,22.6
2015/6/22,14,19.3,25.6,22.3
2015/6/23,10,22,28.4,24
2015/6/24,53.5,22.4,25.6,23.3
2015/6/25,43.5,22.3,26.6,23.8
2015/6/26,19,23.5,29.6,26.8
2015/6/27,10,21.8,26.6,23.2
2015/6/28,59.5,20.2,22.2,21.2
2015/6/29,0,20.8,25.8,23.1
2015/6/30,62.5,21.7,30.7,25.2
2015/7/1,55.5,21,31.2,24.9
2015/7/2,81.5,21,24.1,22.2
2015/7/3,94.5,22.9,25.2,23.8
2015/7/4,125,19.9,23.5,21.7
2015/7/5,17,20.3,21.9,21.1
2015/7/6,14.5,21.2,24.6,23
2015/7/7,6,24.5,29.5,26
2015/7/8,1,25.3,30.1,27.3
2015/7/9,0,26.3,29.7,27.4
2015/7/10,20.5,23.9,27.2,26.1
2015/7/11,14.5,23.9,26.6,25.7
2015/7/12,0,26.6,28.1,27.1
2015/7/13,0,26.2,30.5,27.6
2015/7/14,0,24.9,30,27.3
2015/7/15,0,24.9,29.5,27.2
2015/7/16,0,24.9,29.6,27.6
2015/7/17,0,22.5,28.5,25
2015/7/18,6,21.6,29.2,25.3
2015/7/19,43,24.8,28.2,26.2
2015/7/20,226,23.5,25.3,24.4
2015/7/21,168.5,23.5,26.9,24.7
2015/7/22,10.5,23.9,30.3,26.6
2015/7/23,0,24.1,29.7,26.8
2015/7/24,0,22.7,29.8,26.8
2015/7/25,1.5,24,29.8,27.1
2015/7/26,36,24.5,28.1,26
2015/7/27,8,24.5,31.5,26.7
2015/7/28,0,23.8,31.9,27.4
2015/7/29,0,24.6,31.4,27.5
2015/7/30,0,23.3,30.9,27.5
2015/7/31,0,24.9,31.3,27.8
2015/8/1,0,24.2,30.7,27.5
2015/8/2,0,24.1,30.7,27.4
2015/8/3,0,24.2,30.8,27.4
2015/8/4,0,24.1,30.8,27.5
2015/8/5,0,24.2,31.2,27.7
2015/8/6,5,25.8,31.8,28.2
2015/8/7,5,25.9,30.8,28.2
2015/8/8,0,25.4,30.7,27.8
2015/8/9,0,24.2,31.1,28
2015/8/10,0,23.6,32.1,28.1
2015/8/11,0,23,31.1,27.1
2015/8/12,2,24.4,32.8,27.8
2015/8/13,0,24.1,32.4,27.9
2015/8/14,9,23.6,27.5,25
2015/8/15,0.5,23.6,28.7,26
2015/8/16,8.5,23.6,27.7,25.7
2015/8/17,25.5,24.3,29.9,26.6
2015/8/18,32.5,24.8,28.6,26.5
2015/8/19,3.5,25.9,30.7,27.7
2015/8/20,0.5,25.2,31,27.6
2015/8/21,0,24.4,31.1,27.6
2015/8/22,0,22.6,30.8,27.1
2015/8/23,0,24.4,30.8,27.6
2015/8/24,85,24.5,29.4,27.3
2015/8/25,71,24.9,33,28.2
2015/8/26,0,23.3,30.5,26.7
2015/8/27,0,22.1,29.2,25.7
2015/8/28,0,20.9,28.6,24.9
2015/8/29,56,23.3,25.7,24.6
2015/8/30,11,23.7,26.4,25.2
2015/8/31,46.5,24.1,28,26.3
2015/9/1,12.5,22.5,29.6,25.4
2015/9/2,5.5,23.5,29.1,25.6
2015/9/3,18,23,27.7,24.6
2015/9/4,0,21.6,29.4,25.4
2015/9/5,8.5,20.7,28.1,24.9
2015/9/6,207,22.8,27.5,24.6
2015/9/7,0,22.5,28.3,25.2
2015/9/8,5,23.6,28.2,25.8
2015/9/9,0,21.2,28.1,24.8
2015/9/10,0,21.4,28,25
2015/9/11,0,21,28.4,24.1
2015/9/12,0,20.7,28.2,24.2
2015/9/13,0,19.4,27.4,23.3
2015/9/14,0,18.7,25.7,23.3
2015/9/15,21.5,23.1,25.5,24.2
2015/9/16,13,21.8,26.3,24
2015/9/17,2.5,21.6,26.7,23.2
2015/9/18,2.5,19.5,27,24
2015/9/19,0,20.6,27.3,24.4
2015/9/20,0,19.6,27.2,23
2015/9/21,0,20,27.7,23.5
2015/9/22,1.5,20.8,28.1,24.6
2015/9/23,5.5,22.5,27.1,24.7
2015/9/24,11.5,22,28.2,24.6
2015/9/25,0,22,29.1,25
2015/9/26,7.5,23.2,26.5,24.7
2015/9/27,69.5,23.8,26.2,25.2
2015/9/28,28.5,24.8,27,25.8
2015/9/29,41,22.5,25.3,23.5
2015/9/30,5.5,22.4,25.4,24
2015/10/1,18.5,24.4,31.3,27.1
2015/10/2,3.5,18.8,24.7,21.6
2015/10/3,0,18.1,25,21.6
2015/10/4,0,19.1,26.5,22.5
2015/10/5,0,19.2,26.6,22.9
2015/10/6,2.5,19.9,25.5,22.6
2015/10/7,0,17.4,25.2,21.8
2015/10/8,0,16.9,25.2,20.8
2015/10/9,0,17.7,25.7,21.8
2015/10/10,3,17.7,22,20.2
2015/10/11,0.5,17.7,22.4,19.9
2015/10/12,0,16.6,24.6,21
2015/10/13,0,19,23.9,20.8
2015/10/14,0,16.4,24.2,20.1
2015/10/15,0,19.5,25.7,23.1
2015/10/16,0,20.5,26.4,23.4
2015/10/17,0,18.8,25.8,22.5
2015/10/18,0,18.8,24.7,22.4
2015/10/19,0,19.5,26.6,23.1
2015/10/20,0,19.7,25.2,23.3
2015/10/21,0,21.6,24.9,23.8
2015/10/22,0,22.9,24.6,23.7
2015/10/23,0,21.9,26.2,24.2
2015/10/24,0,21.6,26.7,23.7
2015/10/25,0,20.9,24.6,22.4
2015/10/26,0,17.4,25.7,22
2015/10/27,8.5,18,26.5,22.2
2015/10/28,0.5,17.6,22.1,19.7
2015/10/29,0,15.6,22,18.5
2015/10/30,45,15.4,19.8,18.4
2015/10/31,26,16.5,19.5,17.5
2015/11/1,0,17,21.8,19.9
2015/11/2,9.5,16.3,19.8,17.6
2015/11/3,0,15.6,21.1,18.6
2015/11/4,0,15.2,24.6,20.4
2015/11/5,0,18,24.8,21.1
2015/11/6,1,19,24.5,21.6
2015/11/7,0,20.9,25.5,23.2
2015/11/8,3.5,20.2,23.7,21.8
2015/11/9,38,18.3,23.1,21.1
2015/11/10,3.5,16.8,22.4,19.1
2015/11/11,2.5,14.1,22.6,19
2015/11/12,21,18.6,23.3,21
2015/11/13,26.5,19.7,23,21.7
2015/11/14,86,18,23.6,21.8
2015/11/15,3.5,15.3,23.2,19.7
2015/11/16,0,14.4,24.6,19.5
2015/11/17,15,19.7,24.1,21.7
2015/11/18,30,20.2,24.9,23.2
2015/11/19,0,18.7,23,20.6
2015/11/20,0,16.8,23.4,19.9
2015/11/21,3.5,16.6,24,20
2015/11/22,2,19.4,22.2,20.7
2015/11/23,6.5,17.4,22,20.3
2015/11/24,10,16.8,22.8,20.2
2015/11/25,29.5,15.8,22.4,18.9
2015/11/26,15,10.5,17.5,14.3
2015/11/27,1.5,9.7,14.3,12.4
2015/11/28,2.5,13.1,16.3,14.4
2015/11/29,27.5,13.5,16.7,15.2
2015/11/30,11.5,15.2,21.3,16.8
2015/12/1,0,14.6,20.8,17.2
2015/12/2,36,17.1,21.5,19.5
2015/12/3,0.5,14.9,19.2,16.7
2015/12/4,0,13.4,16.8,14.8
2015/12/5,0,13.9,17.5,15.2
2015/12/6,19,12.5,16.8,14.5
2015/12/7,3.5,14.3,16.8,15.5
2015/12/8,0,11.4,19.5,15.6
2015/12/9,0,11.5,20.9,18
2015/12/10,115,16.8,24.9,20.3
2015/12/11,0.5,17,22.5,19.1
2015/12/12,5,14.2,17.7,15.8
2015/12/13,10.5,13.3,18.4,15.3
2015/12/14,4.5,12.1,20.1,16.6
2015/12/15,38,15.4,20.3,16.9
2015/12/16,33,10.5,15.9,13.1
2015/12/17,27,7.7,11.3,9.6
2015/12/18,0,6.7,13,10
2015/12/19,0,11.2,15.6,13.3
2015/12/20,0,10.3,18.8,15.9
2015/12/21,3,14.2,22.5,17.9
2015/12/22,0,15,21.6,17.8
2015/12/23,22.5,16.2,19.7,18
2015/12/24,3.5,14.9,18.7,17
2015/12/25,1.5,13.1,16.7,14.6
2015/12/26,0,9.9,15.2,13.3
2015/12/27,0,13.3,19,15.4
2015/12/28,2,12.1,16.2,13.7
2015/12/29,0,10.8,13.8,11.9
2015/12/30,0,11,14.9,12.6
2015/12/31,1.5,11.8,17.1,13.7
2016/1/1,0,8.7,15.3,11.5
2016/1/2,13,9.6,17.6,14.5
2016/1/3,1,15.2,21.5,18.1
2016/1/4,0,12.7,21.1,17
2016/1/5,32,12.4,20.1,16.8
2016/1/6,29.5,13.2,18,16.3
2016/1/7,0,13,15.7,13.9
2016/1/8,2,10.9,16.3,12.8
2016/1/9,0,10.6,14.1,12.1
2016/1/10,0,9.5,15.8,12.6
2016/1/11,23,11,14,12.5
2016/1/12,7,10.2,14.3,11.9
2016/1/13,11.5,8.6,11.9,10
2016/1/14,0,9.1,14.3,11.8
2016/1/15,1.5,9.3,12,10.3
2016/1/16,0,7.6,15,11.3
2016/1/17,45,7.6,17.5,15.3
2016/1/18,9.5,8.4,16.9,13.1
2016/1/19,17.5,6.3,10.7,8
2016/1/20,1.5,5.9,10.6,8.4
2016/1/21,18.5,7.5,10.4,9
2016/1/22,2,7.5,12.9,10.1
2016/1/23,13.5,5.8,11.3,9.3
2016/1/24,26.5,1,6.4,3.5
2016/1/25,19,1.3,8.3,5
2016/1/26,5.5,5.7,13.7,9.4
2016/1/27,0,8.2,14.6,11.1
2016/1/28,0,8.9,19.5,15.8
2016/1/29,41.5,16.1,22.4,18.4
2016/1/30,8,13.4,18,15.4
2016/1/31,0,11.2,16.4,13.6
2016/2/1,15,8.1,13.2,10.4
2016/2/2,0.5,8.1,10.6,9.3
2016/2/3,0,8.8,13.2,10.1
2016/2/4,0,7.7,13.7,10.3
2016/2/5,5,8.5,11.6,10.3
2016/2/6,0.5,7.6,12.2,10.1
2016/2/7,4,6.1,12.5,8.1
2016/2/8,5,5.4,11.4,7.6
2016/2/9,0,5.3,17.2,12
2016/2/10,0,7.9,16.7,12.3
2016/2/11,0,7.9,19.5,14.6
2016/2/12,7.5,16.3,19,17.5
2016/2/13,161,16.9,20.9,19.3
2016/2/14,17,9.7,21.4,14.9
2016/2/15,1.5,6.2,10.3,8.4
2016/2/16,2,5.4,11.5,8.8
2016/2/17,5.5,7.6,12.7,10
2016/2/18,0,6.4,14,9.9
2016/2/19,4,7.1,18.7,13.5
2016/2/20,187.5,12.8,18.4,15.5
2016/2/21,0,8.3,13.3,10.6
2016/2/22,6,7.8,15.1,11.9
2016/2/23,81,11.4,15,13.1
2016/2/24,0,8.7,12.9,10.8
2016/2/25,0,7.9,11.9,9.2
2016/2/26,0,7.3,12.7,9.2
2016/2/27,0.5,6.5,16.1,11
2016/2/28,0,10.1,17.6,14.2
2016/2/29,6,7.8,16.6,11.5
2016/3/1,0,6.6,9.3,7.8
2016/3/2,0,7.4,14.1,10
2016/3/3,0,6.3,17.8,12.3
2016/3/4,0,11.2,20.6,16.7
2016/3/5,0,17,22,19
2016/3/6,30,17,19.6,18.7
2016/3/7,0.5,15.6,22.2,18.9
2016/3/8,0,12.6,21.7,17.6
2016/3/9,88,13,21.4,17.3
2016/3/10,0,12.4,14.7,13.4
2016/3/11,0,8.7,14.6,11.2
2016/3/12,0,8.5,14.9,10.6
2016/3/13,20.5,6.7,17.2,12.6
2016/3/14,60.5,11,18.4,13.1
2016/3/15,0,8.1,15.2,11.3
2016/3/16,1.5,9,16.2,13.1
2016/3/17,0,11.5,21.3,16.6
2016/3/18,39.5,15.8,19.9,18.2
2016/3/19,1.5,16.5,21.7,18.8
2016/3/20,0,14,19.7,16.5
2016/3/21,0,9.9,18.1,14.4
2016/3/22,0,8.7,19.9,14.3
2016/3/23,15,12.7,21.3,16.7
2016/3/24,2.5,12.3,18.9,15.2
2016/3/25,1.5,10.2,14.8,12.1
2016/3/26,3,9.9,17.2,13
2016/3/27,2,8.5,16.7,12.1
2016/3/28,4,8.6,17.2,12.9
2016/3/29,0,10.2,18.9,14.5
2016/3/30,0.5,11.4,21.2,14.9
2016/3/31,15,13.1,19.3,16.4
2016/4/1,1.5,17,19.6,17.8
2016/4/2,0,17.3,23.6,20
2016/4/3,12.5,16.5,23.1,19.5
2016/4/4,9,17.4,24.5,20.3
2016/4/5,0,16.3,20.4,17.8
2016/4/6,5,15.9,21.6,19
2016/4/7,23,20.8,26.6,22.9
2016/4/8,4.5,15.4,20.9,17.5
2016/4/9,23,13.5,17.6,15.8
2016/4/10,43.5,15.7,18.3,16.9
2016/4/11,0,15.5,23.2,18.8
2016/4/12,0,17.1,20.2,18.5
2016/4/13,63,16.7,21.3,19.3
2016/4/14,1.5,19.3,24.2,21.2
2016/4/15,0,17,23.7,20.5
