年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/6/3,2.5,23.8,16.5,19.9
2009/6/4,0,25.3,17.1,20.8
2009/6/5,0,26.8,19.7,21.9
2009/6/6,0,26.3,19.1,22
2009/6/7,0,28.7,18.2,22.2
2009/6/8,0,27,17.6,21.8
2009/6/9,0,25.3,18.8,21.7
2009/6/10,23.5,22.7,19.4,20.9
2009/6/11,0,25.7,18.3,21.7
2009/6/12,0,28.8,16.7,22.5
2009/6/13,0,28.1,19.7,23.9
2009/6/14,0,28.3,20.8,24.1
2009/6/15,0,27.7,19.3,22.9
2009/6/16,0,29,18.3,23.3
2009/6/17,0,30.5,18.4,24.4
2009/6/18,0,30.4,21.1,24.6
2009/6/19,0,30.1,19.8,24.4
2009/6/20,0,32.6,21.7,25.8
2009/6/21,0.5,27.9,22.8,25
2009/6/22,9,35.1,22.8,28.5
2009/6/23,23,28.9,19.9,23.6
2009/6/24,9.5,26.7,19.8,22.8
2009/6/25,0,28.9,20.4,24.7
2009/6/26,0,29.4,19.7,24.6
2009/6/27,0,29.1,20.2,24.3
2009/6/28,2,30.7,20.7,25.2
2009/6/29,47,29.8,23.1,26.1
2009/6/30,51.5,27.8,23.4,24.7
2009/7/1,60.5,33.1,21.6,25.2
2009/7/2,3.5,25.1,20.9,22.5
2009/7/3,0.5,28.2,20.7,23.3
2009/7/4,0,28.4,18.8,23.7
2009/7/5,2.5,26.8,21.2,23.4
2009/7/6,0,31.2,22.4,26.5
2009/7/7,0,31.5,22.2,27.6
2009/7/8,5.5,28.6,24.5,26.4
2009/7/9,0,34,25.7,29.9
2009/7/10,33.5,32.1,23,26.9
2009/7/11,9.5,28.3,23,25.2
2009/7/12,0,32.3,23.6,28.4
2009/7/13,0,34,26.2,29.6
2009/7/14,0,34.9,25.9,29.6
2009/7/15,0.5,34,22.9,27.3
2009/7/16,0,30.7,23.4,27
2009/7/17,14.5,28.5,24.9,26.6
2009/7/18,0,33.7,24.8,29
2009/7/19,0,33.8,26.7,30
2009/7/20,6,29.2,25.1,27.3
